MapDate,FIPS,County,State,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20210413,06113,Yolo County,CA,0.00,100.00,100.00,100.00,100.00,0.00,2021-04-13,2021-04-19,1
20210406,06113,Yolo County,CA,0.00,100.00,100.00,100.00,100.00,0.00,2021-04-06,2021-04-12,1
20210330,06113,Yolo County,CA,0.00,100.00,100.00,100.00,100.00,0.00,2021-03-30,2021-04-05,1
20210323,06113,Yolo County,CA,0.00,100.00,100.00,100.00,100.00,0.00,2021-03-23,2021-03-29,1
20210316,06113,Yolo County,CA,0.00,100.00,100.00,100.00,100.00,0.00,2021-03-16,2021-03-22,1
20210309,06113,Yolo County,CA,0.00,100.00,100.00,100.00,100.00,0.00,2021-03-09,2021-03-15,1
20210302,06113,Yolo County,CA,0.00,100.00,100.00,100.00,100.00,0.00,2021-03-02,2021-03-08,1
20210223,06113,Yolo County,CA,0.00,100.00,100.00,100.00,100.00,0.00,2021-02-23,2021-03-01,1
20210216,06113,Yolo County,CA,0.00,100.00,100.00,100.00,100.00,0.00,2021-02-16,2021-02-22,1
20210209,06113,Yolo County,CA,0.00,100.00,100.00,100.00,100.00,0.00,2021-02-09,2021-02-15,1
20210202,06113,Yolo County,CA,0.00,100.00,100.00,100.00,100.00,0.00,2021-02-02,2021-02-08,1
20210126,06113,Yolo County,CA,0.00,100.00,100.00,100.00,100.00,0.00,2021-01-26,2021-02-01,1
20210119,06113,Yolo County,CA,0.00,100.00,100.00,100.00,100.00,0.00,2021-01-19,2021-01-25,1
20210112,06113,Yolo County,CA,0.00,100.00,100.00,100.00,100.00,0.00,2021-01-12,2021-01-18,1
20210105,06113,Yolo County,CA,0.00,100.00,100.00,100.00,100.00,0.00,2021-01-05,2021-01-11,1
20201229,06113,Yolo County,CA,0.00,100.00,100.00,100.00,100.00,0.00,2020-12-29,2021-01-04,1
20201222,06113,Yolo County,CA,0.00,100.00,100.00,100.00,100.00,0.00,2020-12-22,2020-12-28,1
20201215,06113,Yolo County,CA,0.00,100.00,100.00,100.00,100.00,0.00,2020-12-15,2020-12-21,1
20201208,06113,Yolo County,CA,0.00,100.00,100.00,100.00,100.00,0.00,2020-12-08,2020-12-14,1
20201201,06113,Yolo County,CA,0.00,100.00,100.00,100.00,100.00,0.00,2020-12-01,2020-12-07,1
20201124,06113,Yolo County,CA,0.00,100.00,100.00,100.00,100.00,0.00,2020-11-24,2020-11-30,1
20201117,06113,Yolo County,CA,0.00,100.00,100.00,100.00,100.00,0.00,2020-11-17,2020-11-23,1
20201110,06113,Yolo County,CA,0.00,100.00,100.00,100.00,100.00,0.00,2020-11-10,2020-11-16,1
20201103,06113,Yolo County,CA,0.00,100.00,100.00,100.00,100.00,0.00,2020-11-03,2020-11-09,1
20201027,06113,Yolo County,CA,0.00,100.00,100.00,100.00,100.00,0.00,2020-10-27,2020-11-02,1
20201020,06113,Yolo County,CA,0.00,100.00,100.00,100.00,100.00,0.00,2020-10-20,2020-10-26,1
20201013,06113,Yolo County,CA,0.00,100.00,100.00,100.00,100.00,0.00,2020-10-13,2020-10-19,1
20201006,06113,Yolo County,CA,0.00,100.00,100.00,100.00,100.00,0.00,2020-10-06,2020-10-12,1
20200929,06113,Yolo County,CA,0.00,100.00,100.00,100.00,100.00,0.00,2020-09-29,2020-10-05,1
20200922,06113,Yolo County,CA,0.00,100.00,100.00,100.00,0.00,0.00,2020-09-22,2020-09-28,1
20200915,06113,Yolo County,CA,0.00,100.00,100.00,100.00,0.00,0.00,2020-09-15,2020-09-21,1
20200908,06113,Yolo County,CA,0.00,100.00,100.00,100.00,0.00,0.00,2020-09-08,2020-09-14,1
